User Input,Chatbot Response,Timestamp
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-07 18:32:52
Hello,"I'm fine, thank you",2025-01-07 18:33:09
I want to know something,"Emotional intelligence (EQ) is the ability to understand and manage emotions, both in oneself and others.",2025-01-07 18:33:22
I want to know something,"Developing emotional intelligence involves self-awareness, empathy, effective communication, and emotional regulation.",2025-01-07 18:33:37
I want to know something,"Developing emotional intelligence involves self-awareness, empathy, effective communication, and emotional regulation.",2025-01-07 18:33:42
Hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-01-08 04:46:28
Good morning,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-08 04:59:45
goodbye,Goodbye,2025-01-08 04:59:56
byr,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-01-08 05:00:03
can i stop this srever,"Sure, what do you need help with?",2025-01-08 05:00:25
can i stop this server ?,"Sure, what do you need help with?",2025-01-08 05:00:36
What is the purpose of this chatbot,I can answer questions and provide assistance,2026-04-30 05:05:59
